In a new statement, Spicer says Trump is “evaluating the situation” around national security adviser Michael Flynn.…
"President Trump has ""full confidence"" in national security adviser Michael Flynn", top adviser Kellyanne Conway says…
Four GOP senators have told leadership that they won't support Trump's pick for labor secretary, sources say.…
Son of convicted sex abuser and former Penn St. asst. coach Jerry Sandusky arrested on child sexual abuse charges.…
Pakistan court bans celebration of Valentine's Day.
Bullet fragments left in the body can lead to high levels of lead in the blood, the CDC says.…
Russian intel suggests that ISIS plans to destroy more of the ancient structures at Palmyra, Syria.…
At least 188,000 people evacuated from Northern California counties after damage to a spillway at the Oroville Dam.…
North Korea says its Sunday test of a new medium-range ballistic missile was a success.
