"FBI investigation continues into ""odd"" computer link between Russian bank and Trump organization"
Ax attack leaves several people wounded at main train station in Dusseldorf, Germany, police say.…
"FBI head Comey meeting with ""Gang of Eight"" on Capitol Hill over classified intelligence about Russia's meddling."
Office of Government Ethics rebukes White House over Kellyanne Conway's TV plug of Ivanka Trump's products.…
Washington state will ask federal judge to block Trump's new travel ban, joining Hawaii as 2nd state to challenge it
After more than 27 hours of debate, House Energy and Commerce Committee votes to approve GOP Obamacare repeal plan.
Outbreak of yellow fever in rural Brazil is raising concerns that the disease could spread across borders, like Zik…
After an 18-hour session, the House Ways and Means Committee approves the Republicans' health care plan.…
Man who allegedly posed as Justin Bieber online has been charged with more than 900 child sex offenses in Australia…
FCC investigating after AT&amp;T wireless customers in several states were unable to make 911 calls Wednesday.…
llegal SW border crossings down 40%, a sign that President Trump's hard line on immigration may be a deterrent.…
20 people are dead after a fire tore through a youth center in Guatemala, police say.
US Marines join local forces fighting to take Raqqa, Syria, ISIS' self-declared capital, two US officials say.…
Jon Huntsman, ex-ambassador to China and to Singapore, chosen to be ambassador to Russia, senior officials say.…
